TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%,W%
CSB,205.0,29.0,72.4,22.8,46.0,6.2,26.4,10.2,17.6,74.4,15.6,32.2,47.8,14.6,14.0,7.8,3.8,11.6,19.4,19.0,13.0,55,5.0,4.0,1.0,40.0552486188,49.5652173913,23.4848484848,57.9545454545,0.8
UPHSD,200.0,24.333333333333332,66.83333333333333,19.0,43.5,5.333333333333333,23.333333333333332,12.666666666666666,20.666666666666668,66.66666666666667,11.5,29.666666666666668,41.166666666666664,16.333333333333332,14.666666666666666,7.666666666666667,3.8333333333333335,11.5,18.166666666666668,19.5,-0.16666666666666666,48,6.0,4.0,2.0,36.4089775561,43.6781609195,22.8571428571,61.2903225806,0.6666666666666666
CSJL,200.0,25.2,62.2,18.6,37.0,6.6,25.2,17.6,23.6,74.6,10.2,25.8,36.0,13.8,15.0,6.4,4.8,11.2,22.2,20.6,-1.0,41,5.0,3.0,2.0,40.5144694534,50.2702702703,26.1904761905,74.5762711864,0.6
LPU,205.0,30.4,69.2,21.6,41.6,8.8,27.6,18.2,26.8,87.8,8.6,27.8,36.4,18.6,12.8,6.6,2.0,8.6,23.4,22.6,1.2,37,5.0,3.0,2.0,43.9306358382,51.9230769231,31.884057971,67.9104477612,0.6
MU,200.0,25.2,67.4,16.8,36.4,8.4,31.0,13.8,21.2,72.6,12.6,27.2,39.8,16.0,12.6,8.2,2.4,10.6,23.8,18.2,-0.8,35,5.0,3.0,2.0,37.3887240356,46.1538461538,27.0967741935,65.0943396226,0.6
SBU,205.0,24.2,62.2,16.0,37.0,8.2,25.2,15.6,26.4,72.2,13.2,31.4,44.6,12.4,13.8,4.4,3.2,7.6,19.0,23.8,5.0,42,5.0,3.0,2.0,38.9067524116,43.2432432432,32.5396825397,59.0909090909,0.6
League,202.8846153846154,26.346153846153847,69.38461538461539,19.634615384615383,43.192307692307686,6.711538461538461,26.19230769230769,15.21153846153846,23.769230769230766,74.61538461538461,12.134615384615385,27.75,39.88461538461539,15.442307692307692,13.23076923076923,7.538461538461538,3.346153846153846,10.884615384615385,21.73076923076923,21.346153846153847,0.0,34,5.2,2.6,2.6,37.9711751663,45.4585930543,25.624082232,63.996763754,0.5
EAC,205.0,22.6,71.4,14.8,41.6,7.8,29.8,15.6,27.8,68.6,11.2,27.8,39.0,17.4,12.2,7.4,4.6,12.0,23.2,22.8,-2.2,27,5.0,2.0,3.0,31.6526610644,35.5769230769,26.1744966443,56.1151079137,0.4
SSCR,200.0,26.833333333333332,78.66666666666667,20.833333333333332,45.333333333333336,6.0,33.333333333333336,17.0,22.5,76.66666666666667,14.166666666666666,23.5,37.666666666666664,13.666666666666666,11.333333333333334,9.666666666666666,1.1666666666666667,10.833333333333334,28.0,20.666666666666668,-6.5,26,6.0,2.0,4.0,34.1101694915,45.9558823529,18.0,75.5555555556,0.3333333333333333
AU,210.0,31.0,75.2,27.0,57.8,4.0,17.4,13.8,25.6,79.8,11.6,30.4,42.0,15.0,12.6,10.0,2.8,12.8,19.2,23.0,-1.2,14,5.0,1.0,4.0,41.2234042553,46.7128027682,22.9885057471,53.90625,0.2
JRU,200.0,25.0,67.0,18.8,45.2,6.2,21.8,17.8,26.4,74.0,12.4,22.2,34.6,16.8,13.4,6.8,5.2,12.0,20.4,23.8,-6.0,15,5.0,1.0,4.0,37.3134328358,41.592920354,28.4403669725,67.4242424242,0.2
